메인,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
갑옷,방어력,Cost,대형/중형/소형,중형 -> 없음,,,,  7-1. 아이템 레벨에 따라 옵션의 높낮이를 제공한다(베타분포),,,,,,
투구,방어력+,Cost,-,"소형 -> 대형유닛에 10% 감소된데미지, 소형유닛에 10%추가데미지",,,,8. 아이템 코스트 결정,,,,,,
장갑,명중률+,Cost,-,,,,,코스트 공식에 맞춰 아이템 코스트를 결정한다,,,,,,
신발,회피율+,Cost,-,,,,,코스트 공식,장비코스트 = 베이스코스트 × 등급배율 × 레벨배율,,,,,
,,,,,,,,등급배율,일반×1.0 / 매직×1.5 / 레어×2.0 / 유니크×3.0,,,,,
,,,,,,,,레벨배율,"1 + (장비레벨 × 0.05) → 레벨1=×1.05, 레벨5=×1.25, 레벨10=×1.5",,,,,
,,,,,,,,9. 최종 아이템을 생성한다,,,,,,
아이템 옵션(접두/접미사),,,,,,,,,,,,,,
,wraith(분노),sloth(나태),lust(색욕),envy(시기),pride(오만),gluttony(폭식),greed(탐욕),공통 능력치,,,,,,
무기,공격력증가(%),"공격력 대폭증가 
공격속도 감소",흡혈(%),방어력 %무시,강타(%),레벨당공격력,앵벌,최대피해증가,,,,,,
갑옷,방어력증가(%),"방어력 대폭증가
회피율 감소",체력회복(%),피격시,데미지감소(%),레벨당방어력,앵벌,,,,,골드획득증가,아이템 확률 증가,소켓
투구,체력증가(%),"체력 대폭증가
회피율 감소",마법저항력,피격시,모든 스킬레벨,레벨당체력,앵벌,,,,,,,
장갑,공격속도증가(%),"공격속도 대폭증가
공격력 감소",치명타확률,상태이상,스탯,레벨당공격속도,앵벌,,,,,,,
신발,회피율증가(%),"회피율 대폭증가
방어력 또는 체력감소",치명타확률,상태이상,스탯,레벨당회피율,앵벌,,,,,,,
,,,,,,폭식으로만 획득,,,,,,,,
,,,,,장비로 획득,charm 또는 다른방식으로 경험치를 획득해야 각성가능,,,,,,,,
,2세트,4세트,6세트(각성),비고,,,,,,,,,
분노(2/4/6),화상(체력회복감소),잃은체력대비 공격력증가,최후의 저항: 사망시 1회 생존+체력40%회복,✅확정,,,,,,,,,
나태(2/4/6),빙결20%(공격속도감소),미확정,미확정,,,,,,,,,,
색욕(2/4/6),매혹(명중률대폭감소),미확정,미확정(후보검토중),,,,,,,,,,
시기(2/4/6),중독(매초고정데미지),타격시 적버프1개 랜덤제거,약자멸시: 상대HP30%이하 방어력무시,✅확정,,,,,,,,,
오만(별도구조),별도구조,-,완전무결: 상태이상면역+상태이상적20%추가피해,6세트확정/구조미정,,,,,,,,,
폭식(독립형),패널티: 2세트이상 모든스탯감소,-,-,아이템OP+세트패널티 ✅확정,,,,,,,,,
탐욕(2/4/6),스턴(공격불가),미확정,미확정,,,,,,,,,,
,,,,,,,,,,,,,
[세트시스템 규칙 - 2026-03-13],,,,,,,,,,,,,,
브레이크포인트: 2/4/6 통일 (폭식·오만 제외),,,,,,,,,,,,,,
2세트 = 챕터 상태이상 부여,,,,,,,,,,,,,,
베이직 죄종 선택: 플레이어가 1개 죄종 선택 시 세트포인트+1 (6세트 도달 수단),,,,,,,,,,,,,,
세트포인트 최대 10 (5슬롯×접두접미) / 세트레벨 상한 7,,,,,,,,,,,,,,
**오늘 추가된 내용 - 2026-03-06**,,,,,,,,,,,,,,
[Implicit 옵션 - Diablo 2 베이스 고유 속성 참조],,,,,,,,,,,,,,
개념: 장비 베이스 자체에 고정 부여되는 고유 속성 (접두/접미와 별개),,,,,,,,,,,,,,
효과: 베이스 선택 자체가 의사결정이 되어 드롭 가치 판단이 복잡해짐,,,,,,,,,,,,,,
,예시 - 무기,,,,,,,,,,,,,
,,낡은 단검,공격력 10~20,implicit: 출혈 확률 +5%,,,,,,,,,,
,,성기사의 검,공격력 30~50,implicit: 언데드 추가피해 +20%,,,,,,,,,,
,,단검,공격력 15~25,implicit: 공격속도 +10%,,,,,,,,,,
,예시 - 방어구,,,,,,,,,,,,,
,,낡은 갑옷,방어력 20~30,implicit: 체력 +10,,,,,,,,,,
,,철제 갑옷,방어력 40~60,implicit: 물리저항 +5%,,,,,,,,,,
비고: equipment_base.csv에 implicit 컬럼 추가 필요 / 아이템 레벨에 따라 implicit 수치도 스케일링 검토,,,,,,,,,,,,,,
[아이템 비교/필터 도구 - 필요성 검토],,,,,,,,,,,,,,
배경: 아이템 복잡도가 높아질수록 플레이어가 아이템 가치를 판단하기 어려워짐,,,,,,,,,,,,,,
,필요 기능,아이템 비교 (현재 장착 vs 드롭 아이템),,,,,,,,,,,,
,,아이템 필터 (원하는 옵션/등급만 알림),,,,,,,,,,,,
,,코스트 여유분 자동 계산,,,,,,,,,,,,
비고: 프론트엔드 설계 시 우선 반영 권고,,,,,,,,,,,,,,
